PK,FK_TAX_FAM,FK_TAX_GEN,FK_TAX_SPE,Comment,,,,,,,,
159,,20,21,﻿Unassigned; Eubacteriales; ﻿Brotomerdimonas; ﻿butyrica,,,,,,,,
160,,55,21,Veillonellaceae; Megasphaera; butyrica,,,,,,,,
161,,81,41,Veillonellaceae; Veillonella; dispar,,,,,,,,
162,,27,72,Veillonellaceae; Dialister; hominis,,,,,,,,
163,,55,73,Veillonellaceae; Megasphaera; indica,,,,,,,,
164,,27,81,Veillonellaceae; Dialister; invisus,,,,,,,,
165,,81,102,Veillonellaceae; Veillonella; parvula,,,,,,,,
166,,81,1,Veillonellaceae; Veillonella; sp.,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
